"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize","corrected_nationality"
"NULL","Jacobus Henricus van 't Hoff","Nobel Prize in Chemistry","1852-08-30","1852-01-01T00:00:00+02:00","Rotterdam","1911-03-01","{German Empire|Steglitz}","NULL","NULL","NULL","{Utrecht University|Delft University of Technology|Leiden University|University of Bonn|University of Paris}","{Organic chemistry|Physical chemistry}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LeidenUniversityAlumni|UtrechtUniversityAlumni|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchChemists|DutchNobelLaureates|DutchPhysicalChemists|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromRotterdam|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Henri Becquerel","Nobel Prize in Physics","1852-12-15","1852-01-01T00:00:00+02:00","{Paris|Second French Empire}","1908-08-25","{Brittany|French Third Republic|Second French Empire|Le Croisic}","NULL","NULL","NULL","{École Polytechnique|École des ponts ParisTech}","{Chemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|AlumniOfThe%C3%89colePolytechnique|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|NuclearPhysicist110364643|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|FrenchNobelLaureates|FrenchNuclearPhysicists|FrenchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromParis|YagoLegalActor}","Nobel Prize in Physics","NULL"
"Ferdinand Frederick Henri Moissan","Henri Moissan","{Davy Medal|Nobel Prize in Chemistry|Elliott Cresson Medal}","1852-09-28","1852-01-01T00:00:00+02:00","{Paris|France}","1907-02-20","{Paris|France}","NULL","France","NULL","{École pratique des hautes études|Coll%C3%A8ge_de_Meaux}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|InorganicChemists|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FrenchChemists|FrenchNobelLaureates|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromParis|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Albert Abraham Michelson","{Henry Draper Medal|Nobel Prize in Physics|Copley Medal}","{1852-12-19|1852-12-29}","1852-01-01T00:00:00+02:00","{Kingdom of Prussia|Strzelno}","1931-05-09","Pasadena California","NULL","NULL","NULL","{Humboldt University of Berlin|United States Naval Academy}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JewishAgnostics|JewishInventors|JewishScientists|UnitedStatesNavalAcademyAlumni|UnitedStatesNavyOfficers|Acquirer109764201|Agnostic109779124|Alumnus109786338|AmericanAgnostics|AmericanPeopleOfGerman-JewishDescent|AmericanPhysicists|CausalAgent100007347|Creator109614315|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|MilitaryOfficer110317007|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|OpticalPhysicists|PeopleFromStrzelno|PeopleFromTheProvinceOfPosen|YagoLegalActor}","Nobel Prize in Physics","NULL"
"Hermann Emil Louis Fischer","Hermann Emil Fischer","{Nobel Prize in Chemistry|Elliott Cresson Medal}","1852-10-09","1852-01-01T00:00:00+02:00","{Rhine Province|Euskirchen}","1919-07-15","Berlin","NULL","NULL","NULL","{University of Strasbourg|University of Bonn}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanBiochemists|GermanNobelLaureates|Acquirer109764201|Biochemist109854915|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|ScientistsWhoCommittedSuicide|NobelLaureatesInChemistry|OrganicChemists|PeopleFromEuskirchen|PeopleFromTheRhineProvince|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Santiago Ramón y Cajal","Nobel Prize in Physiology or Medicine","1852-05-01","1852-01-01T00:00:00+02:00","{Spain|Aragon|Navarre|Petilla de Aragón}","{1934-10-17|1934-10-18}","{Spain|Madrid}","NULL","Spain","NULL","NULL","Neuroscience","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Academician109759069|AcademicsOfTheComplutenseUniversityOfMadrid|Acquirer109764201|Adult109605289|Anatomist109792237|Anatomists|Biologist109855630|CausalAgent100007347|Diagnostician110011074|Doctor110020890|Educator110045713|Expert109617867|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|SpanishNobelLaureates|SpanishPhysicians|NavarresePeople|Neurobiologist110353928|Neuroscientists|NobelLaureatesInPhysiologyOrMedicine|Pathologists|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","William Ramsay","{Nobel Prize in Chemistry|Elliott Cresson Medal}","1852-10-02","1852-01-01T00:00:00+02:00","Glasgow","1916-07-23","{Buckinghamshire|High Wycombe}","NULL","NULL","NULL","{University of Tübingen|University of Strathclyde}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HonoraryFellowsOfTheRoyalSocietyOfEdinburgh|19th-centuryChemists|19th-centuryScottishPeople|20th-centuryChemists|20th-centuryScottishPeople|Academician109759069|AcademicsOfTheUniversityOfBristol|AcademicsOfTheUniversityOfGlasgow|AcademicsOfTheUniversityOfStrathclyde|AcademicsOfUniversityCollegeLondon|Acquirer109764201|Adult109605289|AlumniOfTheUniversityOfGlasgow|Alumnus109786338|Aristocrat109807754|Associate109816771|CausalAgent100007347|Chemist109913824|Colleague109935990|Creator109614315|Educator110045713|Honoree110183757|Intellectual109621545|Inventor110214637|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DiscoverersOfChemicalElements|FellowsOfTheRoyalSociety|MaleAristocrat110285135|PhysicalEntity100001930|ScottishChemists|ScottishKnights|ScottishNobelLaureates|NobelLaureatesInChemistry|PeopleEducatedAtGlasgowAcademy|PeopleFromGlasgow|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Albrecht Kossel","Nobel Prize in Physiology or Medicine","1853-09-16","1853-01-01T00:00:00+02:00","{Germany|Rostock}","1927-07-05","{Germany|Heidelberg}","NULL","NULL","NULL","{University of Rostock|University of Strasbourg}","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanNobelLaureates|GermanPhysiologists|Acquirer109764201|Biologist109855630|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physiologist110429965|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromMecklenburg-Schwerin|PeopleFromRostock|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"Friedrich Wilhelm Ostwald","Wilhelm Ostwald","Nobel Prize in Chemistry","1853-09-02","1853-01-01T00:00:00+02:00","{Latvia|Riga|Governorate of Livonia|Russian Empire}","1932-04-04","{Leipzig|Weimar Republic|Großbothen}","NULL","Germany","NULL","University of Tartu","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|Adult109605289|Alumnus109786338|Associate109816771|Baltic-GermanPeople|CausalAgent100007347|Chemist109913824|Colleague109935990|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|FaradayLecturers|FellowsOfTheLeopoldina|PhysicalEntity100001930|RigaTechnicalUniversityAlumni|NobelLaureatesInChemistry|PeopleFromRiga|PeopleFromTheGovernorateOfLivonia|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"Adolf Emil Behring","Emil Adolf von Behring","Nobel Prize in Physiology or Medicine","1854-03-15","1854-01-01T00:00:00+02:00","Ławice","1917-03-31","{Hesse-Nassau|Marburg}","NULL","Germany","NULL","NULL","{Immunology|Physiology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanNobelLaureates|GermanPhysicians|GermanPhysiologists|Immunologists|Acquirer109764201|Adult109605289|Associate109816771|Biologist109855630|CausalAgent100007347|Colleague109935990|Doctor110020890|HealthProfessional110165109|Honoree110183757|Immunologist110199902|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physiologist110429965|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FellowsOfTheAmericanAcademyOfArtsAndSciences|MedicalPractitioner110305802|MedicalScientist110306004|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromI%C5%82awaCounty|PeopleFromTheProvinceOfPrussia|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Paul Ehrlich","Nobel Prize in Physiology or Medicine","1854-03-14","1854-01-01T00:00:00+02:00","{Kingdom of Prussia|Strzelin|Lower Silesia}","1915-08-20","{Bad Homburg vor der Höhe|Hesse}","NULL","NULL","NULL","NULL","Immunology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanBiologists|GermanNobelLaureates|GermanScientists|Immunologists|JewishInventors|JewishScientists|19th-centuryBiologists|19th-centuryGermanPeople|19th-centuryScientists|Acquirer109764201|Biologist109855630|CausalAgent100007347|Creator109614315|Honoree110183757|Immunologist110199902|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalScientist110306004|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromTheProvinceOfSilesia|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Paul Sabatier (chemist)","{Franklin Medal|Nobel Prize in Chemistry}","1854-11-05","1854-01-01T00:00:00+02:00","{Carcassonne|France}","1941-08-14","{Toulouse|France}","NULL","France","NULL","Collège de France","Inorganic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|InorganicChemists|Acquirer109764201|AlumniOfThe%C3%89coleNormaleSup%C3%A9rieure|Alumnus109786338|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|FrenchChemists|FrenchNobelLaureates|PhysicalEntity100001930|NobelLaureatesInChemistry|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Ronald Ross","Nobel Prize in Physiology or Medicine","1857-05-13","1857-01-01T00:00:00+02:00","{Almora|British Raj}","1932-09-16","{England|London}","NULL","United Kingdom","NULL","{Barts and The London School of Medicine and Dentistry|Worshipful Society of Apothecaries}","Medicine","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|IndianMedicalServiceOfficers|Acquirer109764201|Adult109605289|AlumniOfTheMedicalCollegeOfStBartholomew'sHospital|Alumnus109786338|Associate109816771|BritishMathematicians|BritishMedicalDoctors|BritishNobelLaureates|BritishNovelists|BritishPoets|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Doctor110020890|Golfer110136959|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Mathematician110301261|Medalist110304914|MilitaryOfficer110317007|Novelist110363573|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|Poet110444194|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|Writer110794014|YagoLegalActorGeo|Epidemiologist110061882|Epidemiologists|FellowsOfTheRoyalCollegeOfSurgeons|FellowsOfTheRoyalSociety|MedicalPractitioner110305802|MedicalScientist110306004|PhysicalEntity100001930|RoyalMedalWinners|NobelLaureatesInPhysiologyOrMedicine|PeopleFromAlmora|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Julius Wagner-Jauregg","Nobel Prize in Physiology or Medicine","1857-03-07","1857-01-01T00:00:00+02:00","Wels","1940-09-27","Vienna","NULL","NULL","NULL","University of Vienna","{Pathology|Psychiatry}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|Adult109605289|AustrianNeuroscientists|AustrianNobelLaureates|AustrianPhysicians|Biologist109855630|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|PeopleFromWels|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Charles Scott Sherrington","Nobel Prize in Physiology or Medicine","1857-11-27","1857-01-01T00:00:00+02:00","{England|London|Islington}","{1857-11-27|1952-03-04}","{England|Sussex|Eastbourne}","NULL","United Kingdom","NULL","{Royal College of Surgeons of England|Ipswich School|Gonville and Caius College Cambridge}","{Histology|Neurology|Physiology|Bacteriology|Pathology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|FullerianProfessorsOfPhysiology|GiffordLecturers|Academician109759069|AcademicsOfKing'sCollegeLondon|Acquirer109764201|Adult109605289|AlumniOfFitzwilliamCollegeCambridge|AlumniOfGonvilleAndCaiusCollegeCambridge|Alumnus109786338|Associate109816771|Biologist109855630|BritishNeuroscientists|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Diagnostician110011074|Doctor110020890|Educator110045713|Golfer110136959|HeadOfState110164747|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Medalist110304914|Negotiator110351874|Neuroscientist110354580|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|President110467179|Professional110480253|Professor110480730|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|FellowsOfGonvilleAndCaiusCollegeCambridge|FellowsOfMagdalenCollegeOxford|FellowsOfTheRoyalSociety|MedicalPractitioner110305802|PhysicalEntity100001930|PresidentsOfTheRoyalSociety|RoyalMedalWinners|StatutoryProfessorsOfTheUniversityOfOxford|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|Pathologists|PeopleEducatedAtIpswichSchool|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
